"Time","Position","Velocity","Acceleration"
0.1,0.292,0.080,-0.301
0.2,0.302,0.051,-0.318
0.3,0.305,0.018,-0.334
0.4,0.306,-0.015,-0.353
0.5,0.302,-0.055,-0.347
0.6,0.294,-0.086,-0.321
0.7,0.285,-0.118,-0.294
0.8,0.270,-0.150,-0.210
0.9,0.254,-0.164,-0.079
1.0,0.237,-0.168,0.083
1.1,0.218,-0.150,0.262
1.2,0.205,-0.111,0.388
1.3,0.195,-0.063,0.419
1.4,0.193,-0.021,0.384
1.5,0.192,0.009,0.384
1.6,0.193,0.051,0.415
1.7,0.202,0.099,0.378
1.8,0.214,0.134,0.267
1.9,0.230,0.153,0.138
2.0,0.246,0.161,0.010
2.1,0.263,0.156,-0.121
2.2,0.278,0.136,-0.241
2.3,0.291,0.105,-0.332
2.4,0.300,0.067,-0.386
2.5,0.305,0.025,-0.412
2.6,0.305,-0.019,-0.403
2.7,0.300,-0.056,-0.379
2.8,0.294,-0.095,-0.348
2.9,0.281,-0.131,-0.258
3.0,0.266,-0.150,-0.130
3.1,0.249,-0.153,-0.032
3.2,0.236,-0.155,0.054
3.3,0.218,-0.150,0.211
3.4,0.203,-0.114,0.382
3.5,0.194,-0.065,0.469
3.6,0.190,-0.016,0.488
3.7,0.191,0.038,0.441
3.8,0.199,0.078,0.340
3.9,0.208,0.102,0.266
4.0,0.218,0.128,0.219
4.1,0.234,0.151,0.127
4.2,0.250,0.157,-0.006
4.3,0.266,0.149,-0.142
4.4,0.281,0.127,-0.261
4.5,0.293,0.094,-0.347
4.6,0.301,0.055,-0.395
4.7,0.304,0.012,-0.398
4.8,0.303,-0.028,-0.363
4.9,0.298,-0.062,-0.313
5.0,0.287,-0.086,-0.271
