"Time","Position","Velocity","Acceleration"
0.1,0.290,-0.110,-0.526
0.2,0.283,-0.165,-0.445
0.3,0.262,-0.221,-0.217
0.4,0.235,-0.236,0.241
0.5,0.208,-0.178,0.752
0.6,0.194,-0.060,1.007
0.7,0.197,0.054,0.928
0.8,0.208,0.136,0.688
0.9,0.225,0.198,0.338
1.0,0.250,0.222,-0.192
1.1,0.277,0.165,-0.755
1.2,0.288,0.047,-1.064
1.3,0.287,-0.078,-1.032
1.4,0.271,-0.183,-0.697
1.5,0.246,-0.236,-0.138
1.6,0.218,-0.216,0.477
1.7,0.197,-0.126,0.930
1.8,0.190,-0.004,1.084
1.9,0.196,0.115,0.940
2.0,0.215,0.205,0.533
2.1,0.242,0.236,-0.044
2.2,0.269,0.197,-0.626
2.3,0.287,0.093,-1.005
2.4,0.289,-0.032,-1.063
2.5,0.279,-0.140,-0.848
2.6,0.259,-0.221,-0.387
2.7,0.229,-0.235,0.244
2.8,0.204,-0.164,0.784
2.9,0.193,-0.049,1.024
3.0,0.196,0.059,1.014
3.1,0.204,0.168,0.781
3.2,0.231,0.246,0.230
3.3,0.262,0.228,-0.453
3.4,0.284,0.131,-0.900
3.5,0.288,0.019,-1.022
3.6,0.287,-0.086,-0.934
3.7,0.272,-0.185,-0.630
3.8,0.246,-0.236,-0.085
3.9,0.217,-0.205,0.495
4.0,0.201,-0.119,0.892
4.1,0.191,-0.010,1.069
4.2,0.197,0.119,0.945
4.3,0.218,0.209,0.497
4.4,0.245,0.229,-0.085
4.5,0.270,0.185,-0.606
4.6,0.285,0.092,-0.941
4.7,0.289,-0.019,-1.065
4.8,0.284,-0.143,-0.961
4.9,0.256,-0.227,-0.710
5.0,0.229,-0.261,-0.501
