"Time","Position","Velocity","Acceleration"
0.1,0.378,-0.182,-0.146
0.2,0.361,-0.198,-0.109
0.3,0.340,-0.213,-0.012
0.4,0.316,-0.212,0.190
0.5,0.294,-0.180,0.448
0.6,0.278,-0.118,0.665
0.7,0.269,-0.039,0.790
0.8,0.269,0.050,0.789
0.9,0.280,0.131,0.640
1.0,0.298,0.187,0.377
1.1,0.320,0.210,0.063
1.2,0.342,0.200,-0.258
1.3,0.363,0.156,-0.546
1.4,0.376,0.084,-0.746
1.5,0.381,-0.004,-0.809
1.6,0.375,-0.089,-0.731
1.7,0.362,-0.160,-0.531
1.8,0.341,-0.204,-0.238
1.9,0.318,-0.211,0.097
2.0,0.296,-0.182,0.411
2.1,0.279,-0.123,0.652
2.2,0.270,-0.043,0.782
2.3,0.270,0.043,0.784
2.4,0.279,0.125,0.654
2.5,0.297,0.185,0.400
2.6,0.318,0.210,0.080
2.7,0.341,0.201,-0.245
2.8,0.361,0.158,-0.532
2.9,0.375,0.088,-0.730
3.0,0.380,0.002,-0.802
3.1,0.376,-0.084,-0.735
3.2,0.362,-0.155,-0.540
3.3,0.343,-0.199,-0.259
3.4,0.320,-0.211,0.070
3.5,0.297,-0.184,0.390
3.6,0.280,-0.127,0.634
3.7,0.270,-0.049,0.772
3.8,0.270,0.038,0.780
3.9,0.279,0.117,0.658
4.0,0.295,0.178,0.427
4.1,0.316,0.210,0.111
4.2,0.340,0.203,-0.228
4.3,0.360,0.160,-0.512
4.4,0.374,0.093,-0.706
4.5,0.380,0.010,-0.790
4.6,0.376,-0.076,-0.747
4.7,0.364,-0.150,-0.578
4.8,0.344,-0.197,-0.359
4.9,0.321,-0.215,-0.195
5.0,0.299,-0.220,-0.101
