"Time","Position","Velocity","Acceleration"
0.1,0.295,-0.090,-0.790
0.2,0.293,-0.174,-0.634
0.3,0.268,-0.258,-0.242
0.4,0.232,-0.257,0.442
0.5,0.208,-0.163,1.083
0.6,0.196,-0.013,1.391
0.7,0.203,0.162,1.150
0.8,0.233,0.271,0.320
0.9,0.269,0.246,-0.720
1.0,0.294,0.096,-1.417
1.1,0.292,-0.102,-1.399
1.2,0.268,-0.241,-0.721
1.3,0.235,-0.273,0.281
1.4,0.202,-0.177,1.174
1.5,0.191,0.015,1.471
1.6,0.208,0.182,1.050
1.7,0.235,0.258,0.217
1.8,0.268,0.233,-0.706
1.9,0.292,0.096,-1.355
2.0,0.293,-0.095,-1.358
2.1,0.268,-0.237,-0.684
2.2,0.234,-0.256,0.280
2.3,0.207,-0.160,1.037
2.4,0.198,-0.011,1.343
2.5,0.203,0.153,1.106
2.6,0.233,0.260,0.322
2.7,0.267,0.235,-0.654
2.8,0.289,0.103,-1.335
2.9,0.292,-0.085,-1.400
3.0,0.270,-0.238,-0.777
3.1,0.234,-0.275,0.232
3.2,0.203,-0.180,1.114
3.3,0.191,-0.003,1.449
3.4,0.203,0.168,1.112
3.5,0.232,0.259,0.298
3.6,0.264,0.239,-0.646
3.7,0.289,0.108,-1.321
3.8,0.291,-0.077,-1.400
3.9,0.271,-0.230,-0.822
4.0,0.235,-0.277,0.155
4.1,0.204,-0.192,1.050
4.2,0.190,-0.025,1.461
4.3,0.198,0.159,1.201
4.4,0.228,0.265,0.378
4.5,0.262,0.248,-0.603
4.6,0.288,0.119,-1.299
4.7,0.290,-0.066,-1.413
4.8,0.271,-0.206,-1.086
4.9,0.242,-0.280,-0.733
5.0,0.208,-0.316,-0.501
