"Time","Position","Velocity","Acceleration"
0.1,0.187,0.053,0.104
0.2,0.191,0.067,0.058
0.3,0.200,0.072,-0.014
0.4,0.206,0.064,-0.091
0.5,0.213,0.053,-0.166
0.6,0.218,0.030,-0.222
0.7,0.220,0.004,-0.233
0.8,0.218,-0.020,-0.202
0.9,0.215,-0.037,-0.152
1.0,0.211,-0.051,-0.094
1.1,0.203,-0.055,-0.039
1.2,0.200,-0.058,0.011
1.3,0.193,-0.063,0.135
1.4,0.183,-0.030,0.232
1.5,0.187,0.005,0.141
1.6,0.188,0.003,0.007
1.7,0.187,-0.006,-0.026
1.8,0.186,-0.010,0.017
1.9,0.184,-0.002,0.064
2.0,0.186,0.009,0.052
2.1,0.187,0.013,-0.001
2.2,0.189,0.006,-0.017
2.3,0.188,-0.001,0.068
2.4,0.187,0.011,0.211
2.5,0.187,0.055,0.220
2.6,0.200,0.076,0.037
2.7,0.207,0.055,-0.098
2.8,0.209,0.044,-0.122
2.9,0.216,0.033,-0.148
3.0,0.217,0.015,-0.172
3.1,0.218,-0.001,-0.199
3.2,0.217,-0.025,-0.215
3.3,0.213,-0.049,-0.182
3.4,0.207,-0.067,-0.094
3.5,0.199,-0.071,0.030
3.6,0.192,-0.062,0.154
3.7,0.185,-0.034,0.212
3.8,0.185,-0.006,0.144
3.9,0.186,-0.003,0.042
4.0,0.185,-0.006,0.010
4.1,0.185,-0.005,0.023
4.2,0.184,-0.003,0.059
4.3,0.183,0.009,0.074
4.4,0.186,0.017,0.032
4.5,0.187,0.017,-0.023
4.6,0.190,0.012,-0.058
4.7,0.191,-0.004,0.004
4.8,0.187,0.001,0.173
4.9,0.187,0.038,0.292
5.0,0.198,0.073,0.341
