"Time","Position","Velocity","Acceleration"
0.1,0.334,-0.288,0.501
0.2,0.303,-0.249,0.669
0.3,0.278,-0.179,0.908
0.4,0.262,-0.063,1.101
0.5,0.265,0.064,1.069
0.6,0.278,0.165,0.851
0.7,0.299,0.248,0.467
0.8,0.333,0.272,-0.059
0.9,0.358,0.232,-0.550
1.0,0.382,0.153,-0.932
1.1,0.393,0.031,-1.134
1.2,0.388,-0.096,-1.074
1.3,0.372,-0.203,-0.773
1.4,0.344,-0.265,-0.295
1.5,0.314,-0.267,0.238
1.6,0.286,-0.213,0.710
1.7,0.267,-0.113,1.033
1.8,0.262,0.012,1.131
1.9,0.270,0.133,0.989
2.0,0.290,0.231,0.609
2.1,0.322,0.266,0.092
2.2,0.348,0.244,-0.391
2.3,0.374,0.182,-0.796
2.4,0.388,0.074,-1.054
2.5,0.389,-0.048,-1.087
2.6,0.378,-0.162,-0.890
2.7,0.354,-0.243,-0.486
2.8,0.325,-0.268,0.031
2.9,0.296,-0.236,0.538
3.0,0.273,-0.152,0.931
3.1,0.263,-0.032,1.114
3.2,0.267,0.092,1.048
3.3,0.283,0.196,0.753
3.4,0.310,0.256,0.293
3.5,0.339,0.259,-0.221
3.6,0.366,0.207,-0.680
3.7,0.384,0.111,-0.993
3.8,0.390,-0.009,-1.093
3.9,0.382,-0.127,-0.957
4.0,0.362,-0.218,-0.611
4.1,0.334,-0.259,-0.139
4.2,0.306,-0.247,0.360
4.3,0.281,-0.182,0.791
4.4,0.266,-0.075,1.052
4.5,0.264,0.047,1.086
4.6,0.276,0.161,0.894
4.7,0.299,0.241,0.535
4.8,0.329,0.269,0.179
4.9,0.357,0.259,-0.030
5.0,0.380,0.242,-0.127
