"Time","Position","Velocity","Acceleration"
0.1,0.392,-0.125,-0.148
0.2,0.381,-0.140,-0.122
0.3,0.365,-0.155,-0.055
0.4,0.348,-0.158,0.073
0.5,0.332,-0.143,0.229
0.6,0.318,-0.110,0.370
0.7,0.309,-0.065,0.465
0.8,0.305,-0.014,0.518
0.9,0.305,0.042,0.522
1.0,0.314,0.098,0.439
1.1,0.327,0.136,0.293
1.2,0.342,0.157,0.126
1.3,0.359,0.162,-0.055
1.4,0.376,0.147,-0.239
1.5,0.390,0.112,-0.393
1.6,0.399,0.063,-0.485
1.7,0.403,0.009,-0.510
1.8,0.401,-0.043,-0.479
1.9,0.394,-0.090,-0.404
2.0,0.382,-0.127,-0.290
2.1,0.368,-0.149,-0.160
2.2,0.352,-0.163,0.017
2.3,0.333,-0.150,0.231
2.4,0.320,-0.111,0.388
2.5,0.310,-0.066,0.474
2.6,0.306,-0.014,0.511
2.7,0.307,0.041,0.495
2.8,0.315,0.091,0.412
2.9,0.327,0.126,0.288
3.0,0.341,0.149,0.147
3.1,0.357,0.159,-0.025
3.2,0.375,0.147,-0.218
3.3,0.389,0.112,-0.373
3.4,0.398,0.067,-0.469
3.5,0.403,0.014,-0.518
3.6,0.401,-0.042,-0.503
3.7,0.394,-0.091,-0.424
3.8,0.382,-0.131,-0.291
3.9,0.366,-0.153,-0.117
4.0,0.349,-0.154,0.059
4.1,0.334,-0.139,0.217
4.2,0.321,-0.111,0.361
4.3,0.310,-0.065,0.468
4.4,0.307,-0.011,0.506
4.5,0.308,0.042,0.476
4.6,0.316,0.089,0.394
4.7,0.327,0.123,0.290
4.8,0.341,0.146,0.193
4.9,0.357,0.159,0.125
5.0,0.374,0.165,0.086
