"Time","Position","Velocity","Acceleration"
0.1,0.184,0.048,0.579
0.2,0.185,0.101,0.526
0.3,0.194,0.183,0.240
0.4,0.228,0.205,-0.487
0.5,0.250,0.082,-1.151
0.6,0.250,-0.095,-1.101
0.7,0.226,-0.212,-0.293
0.8,0.191,-0.163,0.651
0.9,0.187,-0.032,1.096
1.0,0.184,0.106,0.939
1.1,0.209,0.212,0.160
1.2,0.242,0.163,-0.835
1.3,0.254,-0.012,-1.230
1.4,0.237,-0.168,-0.738
1.5,0.209,-0.200,0.210
1.6,0.185,-0.103,0.947
1.7,0.185,0.044,1.078
1.8,0.196,0.165,0.595
1.9,0.224,0.204,-0.316
2.0,0.251,0.094,-1.096
2.1,0.250,-0.087,-1.116
2.2,0.228,-0.205,-0.352
2.3,0.194,-0.171,0.590
2.4,0.186,-0.043,1.083
2.5,0.185,0.097,0.959
2.6,0.207,0.204,0.221
2.7,0.239,0.170,-0.770
2.8,0.254,0.001,-1.231
2.9,0.238,-0.161,-0.803
3.0,0.211,-0.206,0.140
3.1,0.185,-0.118,0.942
3.2,0.181,0.038,1.134
3.3,0.195,0.170,0.631
3.4,0.224,0.202,-0.284
3.5,0.247,0.104,-1.066
3.6,0.253,-0.077,-1.132
3.7,0.226,-0.201,-0.381
3.8,0.198,-0.168,0.563
3.9,0.186,-0.048,1.091
4.0,0.185,0.105,0.976
4.1,0.210,0.212,0.166
4.2,0.243,0.155,-0.801
4.3,0.250,-0.004,-1.185
4.4,0.242,-0.157,-0.763
4.5,0.208,-0.202,0.158
4.6,0.188,-0.107,0.918
4.7,0.184,0.032,1.155
4.8,0.195,0.166,0.942
4.9,0.225,0.231,0.584
5.0,0.249,0.246,0.323
