"Time","Position","Velocity","Acceleration"
0.1,0.354,0.017,-0.125
0.2,0.355,0.013,-0.262
0.3,0.360,-0.015,-0.453
0.4,0.357,-0.084,-0.573
0.5,0.343,-0.154,-0.464
0.6,0.322,-0.186,-0.240
0.7,0.304,-0.196,-0.044
0.8,0.283,-0.194,0.137
0.9,0.263,-0.168,0.296
1.0,0.248,-0.128,0.376
1.1,0.237,-0.086,0.387
1.2,0.231,-0.048,0.377
1.3,0.229,-0.019,0.442
1.4,0.226,0.029,0.592
1.5,0.230,0.112,0.610
1.6,0.250,0.177,0.384
1.7,0.271,0.190,0.122
1.8,0.289,0.190,-0.052
1.9,0.310,0.178,-0.188
2.0,0.326,0.151,-0.293
2.1,0.340,0.119,-0.390
2.2,0.350,0.073,-0.483
2.3,0.355,0.021,-0.555
2.4,0.356,-0.043,-0.568
2.5,0.346,-0.101,-0.494
2.6,0.334,-0.143,-0.395
2.7,0.317,-0.181,-0.267
2.8,0.297,-0.203,-0.074
2.9,0.274,-0.198,0.139
3.0,0.256,-0.171,0.316
3.1,0.239,-0.132,0.465
3.2,0.228,-0.078,0.586
3.3,0.222,-0.007,0.604
3.4,0.227,0.058,0.478
3.5,0.236,0.093,0.313
3.6,0.248,0.105,0.271
3.7,0.254,0.140,0.296
3.8,0.276,0.178,0.207
3.9,0.293,0.187,0.047
4.0,0.313,0.191,-0.166
4.1,0.334,0.159,-0.414
4.2,0.348,0.096,-0.545
4.3,0.353,0.038,-0.556
4.4,0.355,-0.015,-0.539
4.5,0.350,-0.070,-0.507
4.6,0.340,-0.120,-0.440
4.7,0.325,-0.161,-0.338
4.8,0.307,-0.191,-0.210
4.9,0.285,-0.201,-0.094
5.0,0.266,-0.199,-0.020
