"Time","Position","Velocity","Acceleration"
0.1,0.399,0.136,-0.495
0.2,0.416,0.093,-0.581
0.3,0.424,0.029,-0.678
0.4,0.423,-0.048,-0.714
0.5,0.413,-0.125,-0.628
0.6,0.397,-0.183,-0.434
0.7,0.375,-0.217,-0.173
0.8,0.351,-0.220,0.121
0.9,0.328,-0.191,0.398
1.0,0.310,-0.135,0.613
1.1,0.300,-0.062,0.744
1.2,0.297,0.022,0.771
1.3,0.304,0.101,0.690
1.4,0.318,0.167,0.511
1.5,0.340,0.209,0.257
1.6,0.363,0.221,-0.030
1.7,0.386,0.203,-0.316
1.8,0.406,0.155,-0.557
1.9,0.419,0.085,-0.716
2.0,0.424,0.003,-0.774
2.1,0.420,-0.079,-0.719
2.2,0.407,-0.148,-0.566
2.3,0.388,-0.198,-0.336
2.4,0.365,-0.220,-0.052
2.5,0.342,-0.209,0.235
2.6,0.321,-0.170,0.482
2.7,0.306,-0.107,0.664
2.8,0.299,-0.030,0.756
2.9,0.299,0.052,0.745
3.0,0.310,0.128,0.624
3.1,0.327,0.185,0.411
3.2,0.349,0.214,0.145
3.3,0.372,0.215,-0.139
3.4,0.394,0.185,-0.407
3.5,0.411,0.129,-0.619
3.6,0.421,0.055,-0.749
3.7,0.423,-0.030,-0.763
3.8,0.415,-0.107,-0.662
3.9,0.400,-0.169,-0.478
4.0,0.379,-0.208,-0.226
4.1,0.356,-0.217,0.062
4.2,0.333,-0.195,0.338
4.3,0.315,-0.146,0.566
4.4,0.302,-0.075,0.711
4.5,0.299,0.005,0.751
4.6,0.304,0.083,0.691
4.7,0.316,0.151,0.544
4.8,0.335,0.195,0.372
4.9,0.358,0.220,0.244
5.0,0.381,0.232,0.168
