"Time","Position","Velocity","Acceleration"
0.1,0.297,-0.235,0.068
0.2,0.273,-0.228,0.102
0.3,0.252,-0.225,0.215
0.4,0.226,-0.204,0.491
0.5,0.206,-0.134,0.841
0.6,0.196,-0.023,1.040
0.7,0.200,0.103,0.926
0.8,0.220,0.188,0.525
0.9,0.243,0.214,0.019
1.0,0.267,0.188,-0.469
1.1,0.284,0.118,-0.893
1.2,0.296,-0.006,-1.108
1.3,0.284,-0.141,-0.912
1.4,0.262,-0.218,-0.381
1.5,0.235,-0.226,0.260
1.6,0.209,-0.153,0.760
1.7,0.201,-0.043,0.932
1.8,0.203,0.052,0.868
1.9,0.212,0.139,0.654
2.0,0.232,0.202,0.229
2.1,0.258,0.200,-0.338
2.2,0.279,0.124,-0.792
2.3,0.286,0.013,-0.945
2.4,0.280,-0.091,-0.796
2.5,0.264,-0.158,-0.472
2.6,0.246,-0.193,-0.045
2.7,0.222,-0.177,0.459
2.8,0.204,-0.091,0.840
2.9,0.201,0.022,0.903
3.0,0.211,0.111,0.710
3.1,0.225,0.173,0.366
3.2,0.249,0.197,-0.123
3.3,0.271,0.153,-0.636
3.4,0.284,0.052,-0.947
3.5,0.283,-0.066,-0.920
3.6,0.269,-0.159,-0.582
3.7,0.246,-0.197,-0.072
3.8,0.223,-0.168,0.402
3.9,0.210,-0.101,0.709
4.0,0.202,-0.013,0.845
4.1,0.206,0.083,0.777
4.2,0.220,0.159,0.498
4.3,0.241,0.200,0.026
4.4,0.266,0.171,-0.504
4.5,0.280,0.083,-0.860
4.6,0.284,-0.024,-0.953
4.7,0.275,-0.129,-0.789
4.8,0.255,-0.198,-0.465
4.9,0.230,-0.215,-0.192
5.0,0.211,-0.208,-0.031
