"Time","Position","Velocity","Acceleration"
0.1,0.385,-0.083,-0.536
0.2,0.381,-0.137,-0.501
0.3,0.362,-0.194,-0.388
0.4,0.340,-0.227,-0.153
0.5,0.314,-0.231,0.161
0.6,0.291,-0.196,0.485
0.7,0.272,-0.128,0.743
0.8,0.263,-0.038,0.884
0.9,0.264,0.060,0.880
1.0,0.275,0.154,0.693
1.1,0.298,0.213,0.354
1.2,0.322,0.223,0.008
1.3,0.344,0.209,-0.292
1.4,0.366,0.166,-0.582
1.5,0.380,0.088,-0.800
1.6,0.385,-0.007,-0.876
1.7,0.379,-0.101,-0.789
1.8,0.363,-0.176,-0.562
1.9,0.341,-0.220,-0.247
2.0,0.316,-0.228,0.109
2.1,0.292,-0.197,0.449
2.2,0.274,-0.133,0.716
2.3,0.264,-0.044,0.862
2.4,0.264,0.052,0.858
2.5,0.275,0.139,0.707
2.6,0.293,0.206,0.409
2.7,0.321,0.226,0.045
2.8,0.342,0.209,-0.272
2.9,0.364,0.170,-0.556
3.0,0.379,0.094,-0.781
3.1,0.384,0.002,-0.867
3.2,0.379,-0.092,-0.798
3.3,0.364,-0.170,-0.585
3.4,0.343,-0.217,-0.273
3.5,0.318,-0.227,0.083
3.6,0.294,-0.199,0.425
3.7,0.275,-0.137,0.696
3.8,0.265,-0.050,0.844
3.9,0.264,0.044,0.844
4.0,0.274,0.130,0.700
4.1,0.292,0.194,0.439
4.2,0.316,0.224,0.105
4.3,0.340,0.216,-0.244
4.4,0.362,0.172,-0.549
4.5,0.377,0.099,-0.764
4.6,0.383,0.008,-0.845
4.7,0.379,-0.083,-0.777
4.8,0.365,-0.157,-0.615
4.9,0.345,-0.205,-0.456
5.0,0.320,-0.232,-0.348
