"Time","Position","Velocity","Acceleration"
0.1,0.414,-0.002,-0.433
0.2,0.416,-0.042,-0.466
0.3,0.410,-0.096,-0.470
0.4,0.397,-0.146,-0.382
0.5,0.379,-0.181,-0.198
0.6,0.359,-0.189,0.035
0.7,0.340,-0.173,0.263
0.8,0.323,-0.134,0.463
0.9,0.311,-0.076,0.609
1.0,0.306,-0.005,0.670
1.1,0.310,0.067,0.626
1.2,0.321,0.127,0.490
1.3,0.337,0.169,0.294
1.4,0.356,0.189,0.062
1.5,0.377,0.183,-0.173
1.6,0.395,0.151,-0.374
1.7,0.408,0.101,-0.514
1.8,0.415,0.049,-0.644
1.9,0.421,-0.024,-0.769
2.0,0.413,-0.126,-0.678
2.1,0.390,-0.181,-0.370
2.2,0.373,-0.195,-0.078
2.3,0.351,-0.192,0.172
2.4,0.332,-0.159,0.385
2.5,0.318,-0.110,0.536
2.6,0.309,-0.047,0.631
2.7,0.308,0.022,0.647
2.8,0.314,0.090,0.573
2.9,0.327,0.144,0.418
3.0,0.344,0.177,0.209
3.1,0.364,0.188,-0.036
3.2,0.384,0.171,-0.284
3.3,0.400,0.128,-0.486
3.4,0.411,0.066,-0.601
3.5,0.414,-0.001,-0.619
3.6,0.410,-0.062,-0.581
3.7,0.402,-0.120,-0.494
3.8,0.385,-0.166,-0.336
3.9,0.367,-0.195,-0.089
4.0,0.343,-0.190,0.218
4.1,0.326,-0.146,0.469
4.2,0.313,-0.086,0.609
4.3,0.308,-0.017,0.654
4.4,0.310,0.051,0.620
4.5,0.319,0.113,0.508
4.6,0.334,0.157,0.336
4.7,0.352,0.182,0.143
4.8,0.372,0.184,-0.023
4.9,0.390,0.169,-0.111
5.0,0.404,0.153,-0.144
