"Time","Position","Velocity","Acceleration"
0.1,0.304,-0.073,-1.052
0.2,0.309,-0.200,-0.575
0.3,0.273,-0.289,0.341
0.4,0.227,-0.170,1.458
0.5,0.221,0.109,1.520
0.6,0.260,0.275,0.202
0.7,0.304,0.166,-1.270
0.8,0.309,-0.104,-1.478
0.9,0.273,-0.274,-0.240
1.0,0.227,-0.176,1.235
1.1,0.221,0.095,1.492
1.2,0.257,0.266,0.303
1.3,0.299,0.181,-1.153
1.4,0.310,-0.074,-1.502
1.5,0.278,-0.262,-0.403
1.6,0.232,-0.195,1.093
1.7,0.220,0.064,1.511
1.8,0.251,0.255,0.449
1.9,0.296,0.194,-1.029
2.0,0.309,-0.053,-1.482
2.1,0.280,-0.246,-0.486
2.2,0.235,-0.196,0.972
2.3,0.221,0.045,1.465
2.4,0.249,0.239,0.529
2.5,0.292,0.200,-0.910
2.6,0.308,-0.032,-1.453
2.7,0.282,-0.231,-0.582
2.8,0.240,-0.203,0.844
2.9,0.222,0.021,1.440
3.0,0.246,0.224,0.634
3.1,0.289,0.207,-0.777
3.2,0.307,-0.009,-1.410
3.3,0.286,-0.213,-0.659
3.4,0.243,-0.202,0.713
3.5,0.226,0.001,1.372
3.6,0.244,0.204,0.703
3.7,0.287,0.210,-0.656
3.8,0.306,0.009,-1.372
3.9,0.288,-0.195,-0.765
4.0,0.249,-0.216,0.569
4.1,0.224,-0.028,1.360
4.2,0.241,0.188,0.820
4.3,0.281,0.216,-0.519
4.4,0.305,0.033,-1.339
4.5,0.291,-0.182,-0.848
4.6,0.251,-0.219,0.484
4.7,0.226,-0.043,1.437
4.8,0.238,0.177,1.361
4.9,0.277,0.271,0.845
5.0,0.304,0.285,0.429
