"Time","Position","Velocity","Acceleration"
0.1,0.208,-0.012,1.187
0.2,0.195,0.118,0.876
0.3,0.220,0.235,0.194
0.4,0.258,0.209,-0.856
0.5,0.280,0.017,-1.422
0.6,0.262,-0.187,-0.857
0.7,0.226,-0.222,0.404
0.8,0.200,-0.070,1.292
0.9,0.206,0.145,1.056
1.0,0.241,0.230,-0.090
1.1,0.271,0.116,-1.127
1.2,0.274,-0.096,-1.140
1.3,0.242,-0.209,-0.150
1.4,0.214,-0.131,0.911
1.5,0.207,0.049,1.174
1.6,0.226,0.201,0.417
1.7,0.264,0.177,-0.776
1.8,0.278,-0.017,-1.313
1.9,0.259,-0.201,-0.677
2.0,0.221,-0.207,0.531
2.1,0.202,-0.049,1.277
2.2,0.207,0.148,0.968
2.3,0.243,0.227,-0.184
2.4,0.273,0.098,-1.187
2.5,0.271,-0.116,-1.119
2.6,0.239,-0.221,-0.071
2.7,0.208,-0.131,1.007
2.8,0.202,0.066,1.199
2.9,0.226,0.210,0.342
3.0,0.262,0.166,-0.835
3.1,0.274,-0.029,-1.268
3.2,0.254,-0.198,-0.568
3.3,0.218,-0.192,0.644
3.4,0.198,-0.012,1.273
3.5,0.215,0.171,0.780
3.6,0.247,0.206,-0.370
3.7,0.273,0.067,-1.206
3.8,0.267,-0.135,-1.002
3.9,0.235,-0.221,0.102
4.0,0.203,-0.107,1.120
4.1,0.204,0.103,1.122
4.2,0.234,0.210,0.162
4.3,0.263,0.142,-0.886
4.4,0.273,-0.041,-1.172
4.5,0.252,-0.187,-0.467
4.6,0.220,-0.168,0.612
4.7,0.206,-0.019,1.247
4.8,0.213,0.156,1.144
4.9,0.249,0.241,0.710
5.0,0.272,0.251,0.355
