"Time","Position","Velocity","Acceleration"
0.1,0.263,0.152,-0.179
0.2,0.279,0.138,-0.239
0.3,0.293,0.112,-0.323
0.4,0.303,0.073,-0.399
0.5,0.308,0.028,-0.436
0.6,0.309,-0.018,-0.430
0.7,0.303,-0.057,-0.416
0.8,0.298,-0.099,-0.403
0.9,0.285,-0.147,-0.300
1.0,0.265,-0.169,-0.107
1.1,0.248,-0.162,0.034
1.2,0.234,-0.156,0.124
1.3,0.216,-0.144,0.256
1.4,0.202,-0.102,0.357
1.5,0.196,-0.062,0.371
1.6,0.191,-0.031,0.402
1.7,0.188,0.014,0.457
1.8,0.193,0.067,0.446
1.9,0.203,0.110,0.362
2.0,0.216,0.141,0.247
2.1,0.232,0.160,0.120
2.2,0.249,0.166,-0.010
2.3,0.266,0.159,-0.142
2.4,0.282,0.137,-0.265
2.5,0.295,0.103,-0.358
2.6,0.303,0.062,-0.419
2.7,0.307,0.017,-0.450
2.8,0.307,-0.030,-0.441
2.9,0.301,-0.075,-0.386
3.0,0.291,-0.111,-0.294
3.1,0.278,-0.133,-0.205
3.2,0.264,-0.151,-0.120
3.3,0.247,-0.161,0.001
3.4,0.230,-0.153,0.141
3.5,0.216,-0.130,0.256
3.6,0.204,-0.099,0.336
3.7,0.195,-0.060,0.384
3.8,0.192,-0.022,0.426
3.9,0.190,0.025,0.460
4.0,0.196,0.076,0.427
4.1,0.206,0.116,0.336
4.2,0.220,0.145,0.221
4.3,0.236,0.161,0.094
4.4,0.253,0.164,-0.044
4.5,0.270,0.152,-0.178
4.6,0.285,0.126,-0.279
4.7,0.296,0.092,-0.334
4.8,0.304,0.055,-0.339
4.9,0.307,0.021,-0.311
5.0,0.305,-0.004,-0.279
