"Time","Position","Velocity","Acceleration"
0.1,0.287,-0.295,0.207
0.2,0.259,-0.290,0.469
0.3,0.224,-0.245,0.893
0.4,0.200,-0.115,1.309
0.5,0.199,0.053,1.347
0.6,0.212,0.200,0.866
0.7,0.246,0.262,-0.015
0.8,0.275,0.201,-0.915
0.9,0.295,0.042,-1.390
1.0,0.286,-0.138,-1.188
1.1,0.261,-0.245,-0.433
1.2,0.227,-0.240,0.506
1.3,0.202,-0.117,1.164
1.4,0.201,0.038,1.299
1.5,0.210,0.188,0.890
1.6,0.245,0.257,0.035
1.7,0.273,0.198,-0.849
1.8,0.292,0.054,-1.347
1.9,0.287,-0.128,-1.205
2.0,0.260,-0.239,-0.484
2.1,0.230,-0.239,0.418
2.2,0.204,-0.140,1.140
2.3,0.195,0.031,1.367
2.4,0.211,0.192,0.937
2.5,0.242,0.259,0.051
2.6,0.274,0.201,-0.839
2.7,0.290,0.056,-1.326
2.8,0.288,-0.118,-1.187
2.9,0.261,-0.233,-0.474
3.0,0.230,-0.228,0.423
3.1,0.207,-0.126,1.082
3.2,0.201,0.030,1.249
3.3,0.215,0.170,0.873
3.4,0.241,0.239,0.103
3.5,0.272,0.200,-0.756
3.6,0.290,0.058,-1.272
3.7,0.286,-0.110,-1.161
3.8,0.263,-0.224,-0.493
3.9,0.231,-0.226,0.384
4.0,0.209,-0.125,1.031
4.1,0.203,0.020,1.216
4.2,0.213,0.162,0.880
4.3,0.241,0.231,0.138
4.4,0.268,0.198,-0.691
4.5,0.290,0.069,-1.235
4.6,0.286,-0.102,-1.190
4.7,0.264,-0.215,-0.639
4.8,0.234,-0.238,-0.007
4.9,0.208,-0.186,0.380
5.0,0.202,-0.123,0.554
