"Time","Position","Velocity","Acceleration"
0.1,0.429,0.048,-0.292
0.2,0.435,0.024,-0.362
0.3,0.437,-0.013,-0.459
0.4,0.435,-0.072,-0.513
0.5,0.422,-0.130,-0.428
0.6,0.407,-0.164,-0.267
0.7,0.389,-0.183,-0.093
0.8,0.369,-0.182,0.084
0.9,0.351,-0.165,0.243
1.0,0.335,-0.133,0.386
1.1,0.323,-0.085,0.496
1.2,0.317,-0.029,0.556
1.3,0.317,0.030,0.563
1.4,0.323,0.089,0.504
1.5,0.336,0.136,0.384
1.6,0.352,0.167,0.231
1.7,0.370,0.184,0.056
1.8,0.390,0.179,-0.127
1.9,0.407,0.157,-0.288
2.0,0.423,0.120,-0.428
2.1,0.433,0.068,-0.520
2.2,0.436,0.013,-0.567
2.3,0.436,-0.050,-0.559
2.4,0.426,-0.108,-0.457
2.5,0.412,-0.142,-0.336
2.6,0.398,-0.175,-0.203
2.7,0.376,-0.190,-0.001
2.8,0.357,-0.174,0.194
2.9,0.340,-0.147,0.353
3.0,0.327,-0.102,0.476
3.1,0.319,-0.047,0.541
3.2,0.317,0.011,0.553
3.3,0.321,0.068,0.511
3.4,0.331,0.117,0.423
3.5,0.346,0.155,0.298
3.6,0.363,0.180,0.131
3.7,0.383,0.184,-0.068
3.8,0.402,0.164,-0.248
3.9,0.417,0.131,-0.390
4.0,0.429,0.084,-0.495
4.1,0.435,0.027,-0.541
4.2,0.435,-0.028,-0.539
4.3,0.429,-0.084,-0.487
4.4,0.417,-0.129,-0.392
4.5,0.403,-0.166,-0.259
4.6,0.382,-0.185,-0.077
4.7,0.364,-0.180,0.097
4.8,0.345,-0.161,0.210
4.9,0.330,-0.130,0.249
5.0,0.322,-0.107,0.249
