"Time","Position","Velocity","Acceleration"
0.1,0.364,-0.248,0.052
0.2,0.340,-0.250,0.170
0.3,0.312,-0.234,0.381
0.4,0.289,-0.183,0.670
0.5,0.273,-0.096,0.919
0.6,0.268,0.015,1.000
0.7,0.276,0.123,0.864
0.8,0.295,0.204,0.534
0.9,0.320,0.239,0.089
1.0,0.347,0.222,-0.373
1.1,0.369,0.158,-0.751
1.2,0.382,0.059,-0.965
1.3,0.382,-0.054,-0.958
1.4,0.369,-0.150,-0.745
1.5,0.349,-0.213,-0.390
1.6,0.323,-0.235,0.050
1.7,0.298,-0.204,0.491
1.8,0.279,-0.128,0.825
1.9,0.270,-0.023,0.970
2.0,0.274,0.084,0.901
2.1,0.288,0.172,0.647
2.2,0.311,0.224,0.256
2.3,0.337,0.228,-0.195
2.4,0.361,0.183,-0.609
2.5,0.377,0.096,-0.891
2.6,0.382,-0.013,-0.970
2.7,0.374,-0.115,-0.838
2.8,0.357,-0.195,-0.525
2.9,0.332,-0.231,-0.090
3.0,0.306,-0.213,0.353
3.1,0.286,-0.152,0.705
3.2,0.273,-0.061,0.916
3.3,0.272,0.046,0.936
3.4,0.283,0.144,0.751
3.5,0.304,0.210,0.398
3.6,0.329,0.230,-0.040
3.7,0.353,0.204,-0.487
3.8,0.374,0.124,-0.830
3.9,0.380,0.018,-0.951
4.0,0.377,-0.082,-0.870
4.1,0.363,-0.169,-0.625
4.2,0.340,-0.219,-0.243
4.3,0.315,-0.222,0.193
4.4,0.292,-0.178,0.596
4.5,0.276,-0.092,0.870
4.6,0.272,0.013,0.941
4.7,0.279,0.113,0.812
4.8,0.297,0.186,0.581
4.9,0.320,0.225,0.377
5.0,0.345,0.242,0.249
