"Time","Position","Velocity","Acceleration"
0.1,0.241,0.250,-1.800
0.2,0.279,0.076,-1.719
0.3,0.277,-0.135,-1.276
0.4,0.245,-0.269,-0.101
0.5,0.200,-0.181,1.257
0.6,0.191,0.087,1.528
0.7,0.227,0.263,0.410
0.8,0.268,0.196,-1.003
0.9,0.281,-0.029,-1.492
1.0,0.259,-0.230,-0.662
1.1,0.214,-0.211,0.702
1.2,0.202,-0.022,1.389
1.3,0.209,0.176,0.924
1.4,0.249,0.241,-0.354
1.5,0.279,0.082,-1.363
1.6,0.273,-0.151,-1.153
1.7,0.235,-0.253,0.104
1.8,0.198,-0.115,1.228
1.9,0.206,0.102,1.237
2.0,0.227,0.227,0.236
2.1,0.268,0.173,-1.000
2.2,0.279,-0.052,-1.397
2.3,0.253,-0.230,-0.538
2.4,0.213,-0.207,0.806
2.5,0.193,0.002,1.433
2.6,0.215,0.203,0.794
2.7,0.252,0.224,-0.507
2.8,0.277,0.057,-1.357
2.9,0.268,-0.158,-1.051
3.0,0.233,-0.242,0.176
3.1,0.198,-0.111,1.267
3.2,0.201,0.121,1.235
3.3,0.234,0.242,0.120
3.4,0.270,0.151,-1.066
3.5,0.276,-0.066,-1.285
3.6,0.250,-0.215,-0.384
3.7,0.214,-0.170,0.811
3.8,0.202,0.019,1.270
3.9,0.220,0.189,0.630
4.0,0.255,0.199,-0.573
4.1,0.277,0.031,-1.306
4.2,0.265,-0.174,-0.889
4.3,0.227,-0.226,0.330
4.4,0.200,-0.078,1.249
4.5,0.206,0.130,1.072
4.6,0.237,0.224,-0.022
4.7,0.270,0.124,-1.140
4.8,0.273,-0.083,-1.506
4.9,0.245,-0.237,-1.311
5.0,0.209,-0.319,-1.052
