"Time","Position","Velocity","Acceleration"
0.1,0.317,0.094,-0.220
0.2,0.327,0.076,-0.275
0.3,0.335,0.045,-0.344
0.4,0.337,0.005,-0.391
0.5,0.336,-0.038,-0.391
0.6,0.330,-0.077,-0.343
0.7,0.320,-0.109,-0.262
0.8,0.307,-0.131,-0.159
0.9,0.292,-0.142,-0.038
1.0,0.278,-0.140,0.093
1.1,0.263,-0.123,0.219
1.2,0.252,-0.094,0.321
1.3,0.244,-0.058,0.397
1.4,0.239,-0.009,0.410
1.5,0.243,0.033,0.345
1.6,0.248,0.057,0.303
1.7,0.253,0.089,0.293
1.8,0.265,0.122,0.224
1.9,0.279,0.139,0.096
2.0,0.294,0.142,-0.046
2.1,0.309,0.129,-0.174
2.2,0.321,0.104,-0.275
2.3,0.330,0.072,-0.355
2.4,0.336,0.031,-0.405
2.5,0.337,-0.013,-0.408
2.6,0.333,-0.054,-0.372
2.7,0.326,-0.089,-0.310
2.8,0.315,-0.118,-0.220
2.9,0.301,-0.135,-0.106
3.0,0.287,-0.139,0.014
3.1,0.272,-0.132,0.130
3.2,0.259,-0.113,0.238
3.3,0.249,-0.083,0.325
3.4,0.242,-0.045,0.384
3.5,0.240,-0.003,0.410
3.6,0.241,0.040,0.393
3.7,0.248,0.078,0.337
3.8,0.258,0.109,0.257
3.9,0.270,0.132,0.148
4.0,0.285,0.141,0.018
4.1,0.300,0.135,-0.106
4.2,0.313,0.118,-0.211
4.3,0.324,0.092,-0.300
4.4,0.332,0.057,-0.372
4.5,0.336,0.014,-0.407
4.6,0.335,-0.029,-0.391
4.7,0.330,-0.067,-0.336
4.8,0.321,-0.097,-0.270
4.9,0.310,-0.120,-0.213
5.0,0.295,-0.135,-0.173
