"Time","Position","Velocity","Acceleration"
0.1,0.393,-0.096,-0.173
0.2,0.385,-0.114,-0.148
0.3,0.371,-0.131,-0.089
0.4,0.357,-0.137,0.021
0.5,0.342,-0.128,0.157
0.6,0.331,-0.105,0.282
0.7,0.321,-0.071,0.388
0.8,0.315,-0.022,0.437
0.9,0.317,0.023,0.414
1.0,0.320,0.062,0.359
1.1,0.329,0.098,0.267
1.2,0.341,0.120,0.131
1.3,0.355,0.122,0.007
1.4,0.365,0.119,-0.094
1.5,0.379,0.107,-0.222
1.6,0.389,0.075,-0.345
1.7,0.395,0.033,-0.416
1.8,0.396,-0.012,-0.438
1.9,0.393,-0.060,-0.400
2.0,0.383,-0.096,-0.310
2.1,0.373,-0.123,-0.190
2.2,0.357,-0.139,-0.022
2.3,0.342,-0.128,0.147
2.4,0.331,-0.105,0.268
2.5,0.321,-0.073,0.364
2.6,0.315,-0.030,0.431
2.7,0.315,0.017,0.448
2.8,0.318,0.067,0.382
2.9,0.329,0.101,0.242
3.0,0.341,0.111,0.130
3.1,0.351,0.121,0.059
3.2,0.365,0.132,-0.089
3.3,0.381,0.108,-0.272
3.4,0.388,0.067,-0.362
3.5,0.394,0.032,-0.405
3.6,0.395,-0.014,-0.425
3.7,0.391,-0.059,-0.387
3.8,0.383,-0.095,-0.299
3.9,0.371,-0.121,-0.175
4.0,0.357,-0.132,-0.026
4.1,0.343,-0.126,0.122
4.2,0.331,-0.106,0.254
4.3,0.321,-0.074,0.363
4.4,0.315,-0.030,0.426
4.5,0.315,0.017,0.423
4.6,0.319,0.059,0.365
4.7,0.327,0.092,0.278
4.8,0.338,0.115,0.191
4.9,0.351,0.128,0.128
5.0,0.365,0.135,0.093
