"Time","Position","Velocity","Acceleration"
0.1,0.307,-0.216,-0.128
0.2,0.291,-0.258,0.339
0.3,0.250,-0.228,1.037
0.4,0.226,-0.033,1.483
0.5,0.242,0.178,0.877
0.6,0.278,0.215,-0.427
0.7,0.305,0.051,-1.295
0.8,0.294,-0.167,-0.916
0.9,0.255,-0.220,0.349
1.0,0.229,-0.064,1.275
1.1,0.236,0.156,0.982
1.2,0.275,0.227,-0.259
1.3,0.303,0.076,-1.227
1.4,0.296,-0.134,-1.021
1.5,0.265,-0.224,0.149
1.6,0.229,-0.092,1.189
1.7,0.237,0.134,1.032
1.8,0.271,0.215,-0.141
1.9,0.300,0.089,-1.151
2.0,0.297,-0.126,-1.045
2.1,0.264,-0.222,0.088
2.2,0.230,-0.101,1.145
2.3,0.234,0.119,1.081
2.4,0.266,0.218,-0.017
2.5,0.298,0.111,-1.076
2.6,0.299,-0.102,-1.082
2.7,0.267,-0.207,-0.058
2.8,0.238,-0.116,0.995
2.9,0.233,0.086,1.095
3.0,0.263,0.209,0.129
3.1,0.296,0.124,-0.963
3.2,0.299,-0.080,-1.093
3.3,0.271,-0.199,-0.164
3.4,0.240,-0.125,0.896
3.5,0.235,0.065,1.091
3.6,0.259,0.196,0.245
3.7,0.293,0.138,-0.838
3.8,0.300,-0.051,-1.120
3.9,0.278,-0.190,-0.346
4.0,0.245,-0.155,0.773
4.1,0.231,0.037,1.151
4.2,0.256,0.192,0.377
4.3,0.289,0.149,-0.762
4.4,0.299,-0.038,-1.132
4.5,0.278,-0.188,-0.393
4.6,0.244,-0.155,0.750
4.7,0.232,0.029,1.262
4.8,0.253,0.189,0.883
4.9,0.286,0.217,0.319
5.0,0.300,0.189,-0.056
